ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
24;9;9497;213698120;334861;2646348;0.12653702385324983
24;10;9466;206801000;316762;2727363;0.11614222235910658
25;0;0;206801000;0;0;0.0
25;1;9461;199003720;320495;2734955;0.11718474344184822
25;2;9457;500751728;508853;2977614;0.17089286925706287
25;3;9476;493639840;424835;2874866;0.1477755832793598
25;4;9451;485842480;325452;2731887;0.11913084252752768
25;5;9504;478647736;318534;2687227;0.11853632015456826
25;6;9492;471162416;316379;2745869;0.11521999046567771
25;7;9515;463662776;341261;2676933;0.1274820849083634
25;8;9468;455961104;329120;2755887;0.11942434504752916
25;9;9463;448685024;443003;2868839;0.15441891301672905
25;10;9466;440993560;315817;2677950;0.11793237364401875
26;0;0;440993560;0;0;0.0
26;1;9458;433413680;329086;2672807;0.12312374219313253
26;2;9483;425616352;344517;2733826;0.12602009052514682
26;3;9463;418142352;298760;2731660;0.1093693944341536
26;4;9500;410049368;333186;2661615;0.12518189144560726
26;5;9466;402547696;610712;3120842;0.19568821491123228
26;6;9467;394482456;437266;2977996;0.14683229930463304
26;7;9490;386467632;444087;2981052;0.14896989384955378
26;8;9508;378887728;500463;3168913;0.1579289175815177
26;9;9492;370872952;597478;3352067;0.17824166402401861
26;10;9571;363320776;412946;3534553;0.11683118063302489
27;0;0;363320776;0;0;0.0
27;1;9611;355010288;424526;3706031;0.11455004019124503
27;2;9619;347134808;468712;3882199;0.12073363575643598
27;3;9618;338746200;734684;4441041;0.1654305826043939
27;4;9639;330948872;436481;3679701;0.11861860515297303
27;5;9638;322560280;484309;4050474;0.11956847519574253
27;6;9587;314790696;444573;3754078;0.11842401782807922
27;7;9584;306402072;584674;4060321;0.14399698940059172
27;8;9583;298604672;474543;3882775;0.12221748620509816
27;9;9624;290216064;439740;3818655;0.11515572891502375
27;10;9592;281897488;440346;3739910;0.11774240556590934
28;0;0;281897488;0;0;0.0
28;1;9594;273734488;452036;4017486;0.11251713136025863
28;2;9606;265128432;435587;3708068;0.11747006797070604
28;3;9593;257252912;431688;3833883;0.11259811527894827
28;4;9645;248864304;576782;4087342;0.1411142008669693
28;5;9614;240258248;436826;3772786;0.11578340250414415
28;6;9600;232087104;438884;3799467;0.11551199155039378
28;7;9623;223698496;437518;3716965;0.11770839919127568
28;8;9614;215092424;431291;3750877;0.11498404239861772
28;9;9602;206921264;442862;3781086;0.11712560888591267
28;10;9615;198315208;567336;4052251;0.14000514775614836
29;0;0;198315208;0;0;0.0
29;1;9614;498778392;416389;3124173;0.13327975115334523
29;2;9609;489988184;429512;3852990;0.11147498436279357
29;3;9630;481372168;422536;3681865;0.11476140488583911
29;4;9619;472573864;437061;3855174;0.11336998018766468
29;5;9613;463515384;445464;3790870;0.11750970093936221
29;6;9586;455091504;696428;4230014;0.1646396442186716
29;7;9591;446291120;434514;3643076;0.11927118731533462
29;8;9582;437658720;432242;3741033;0.11554081452903517
29;9;9617;428616640;440514;3747366;0.11755296920557
29;10;9614;419818304;449641;3907184;0.11508057977305394
30;0;0;419818304;0;0;0.0
30;1;9601;411051312;404309;3702905;0.10918697617141136
30;2;9592;401680392;594627;4238013;0.1403079697962229
30;3;9593;392555328;433431;3905016;0.11099339925879945
30;4;9610;383788336;408963;3868175;0.10572505121924422
30;5;9625;374417416;412027;3713460;0.110955012306582
30;6;9610;365279632;458263;4002344;0.11449865378887972
30;7;9630;356525360;418180;3670694;0.1139239609730476
30;8;9614;347154440;452164;4007079;0.11284129911089849
30;9;9642;338029376;744802;4454327;0.16720864902823704
30;10;9593;329262384;434898;3864888;0.11252538236554332
31;0;0;329262384;0;0;0.0
31;1;9437;319564720;348806;2859487;0.12198201985181258
31;2;9451;310388016;336121;2894979;0.11610481457723873
31;3;9460;300690352;394438;3148838;0.1252646214254274
31;4;9466;291511600;325762;2894356;0.11255077122510154
31;5;9447;281815984;602140;3328318;0.18091420351060206
31;6;9445;272639280;378172;3094664;0.122201311677132
31;7;9459;262941616;313703;2704779;0.1159810099087578
31;8;9598;253764912;461968;3971075;0.11633323470344932
31;9;9488;244067248;399431;3177773;0.1256952589124522
31;10;9490;234890544;367659;3121415;0.117786004103908
32;0;0;234890544;0;0;0.0
32;1;9452;224866136;475986;3225813;0.14755536046261827
32;2;9602;215277656;431285;3862807;0.11165067268439764
32;3;9475;205665048;386873;3288988;0.11762675935576536
32;4;9458;195749784;341525;2912700;0.11725375081539464
32;5;9471;493154824;335580;2682719;0.12508950806998423
32;6;9490;479815472;350575;2922764;0.11994639320862033
32;7;9463;466703240;385723;2999588;0.12859199330041327
32;8;9468;453325352;437782;3065013;0.14283202061459446
32;9;9468;440328560;323781;2857072;0.11332616048878012
32;10;9451;427304016;338747;2888724;0.11726527006387595
33;0;0;427304016;0;0;0.0
33;1;9470;413562120;352979;2932589;0.12036429243920645
33;2;9468;400482672;376961;2989987;0.12607446119330953
33;3;9471;387044248;361809;2953621;0.12249675906285877
33;4;9468;373633576;513532;4032558;0.12734646346066195
33;5;9464;359863944;464225;3134786;0.14808825865625277
33;6;9480;346768080;340505;2930356;0.11619919218006276
33;7;9461;333373808;359708;2941453;0.12228922236731303
33;8;9445;319935384;363251;3075497;0.11811131664248087
33;9;9479;306193488;367252;3014078;0.12184555276937094
33;10;9439;292746904;508655;3241231;0.1569326592273121
34;0;0;292746904;0;0;0.0
34;1;9447;279261736;331747;2907480;0.11410121479769422
34;2;9475;265409432;331064;2974590;0.11129735526576771
34;3;9460;251559176;366590;3005013;0.12199281667001108
34;4;9448;237732576;343067;3136631;0.10937435739173655
34;5;9466;223532168;349030;2888610;0.12082974164044298
34;6;9464;210055720;455792;3238161;0.14075643552003744
34;7;9455;196203416;339126;3059585;0.11084052248916111
34;8;9464;488975608;398684;3179923;0.12537536286255987
34;9;9465;471688688;358860;3027864;0.11851919372864832
34;10;9447;454376824;346769;2892040;0.11990463479066679
35;0;0;454376824;0;0;0.0
35;1;9466;436557944;356076;2912375;0.12226310142066184
35;2;9478;418725240;344776;2979737;0.11570685600776176
35;3;9462;400906360;496886;3011693;0.16498560776280982
35;4;9446;383073672;352262;2931317;0.12017192272278979
35;5;9450;365254776;319658;2843575;0.11241412658361394
35;6;9443;347422072;346564;2921602;0.11862122219248207
35;7;9456;329603192;350890;3118518;0.11251818972986527
35;8;9469;311770488;362079;3218652;0.11249398816647466
35;9;9497;293951592;623112;3496249;0.1782230041395793
35;10;9443;276118920;363600;3045337;0.11939565309192382
36;0;0;276118920;0;0;0.0
36;1;9444;257779200;402754;3388355;0.1188641686009878
36;2;9471;239425640;344227;2961517;0.11623333582079724
36;3;9454;221072112;344926;3029248;0.11386522331614975
36;4;9457;202718600;359241;3058532;0.11745536747694646
36;5;9469;493694912;444632;3576287;0.12432782939400557
36;6;9498;481189272;470661;3209587;0.14664223153944728
36;7;9450;468766960;332932;3006726;0.11072907873880095
36;8;9479;456731776;376124;3143754;0.1196416767978665
36;9;9458;444519408;364461;3171066;0.1149332748041195
36;10;9452;432256800;330441;2837624;0.11644988906211676
37;0;0;432256800;0;0;0.0
37;1;9462;419489568;351993;2980868;0.11808406142103575
37;2;9486;406914816;653116;3509512;0.18609880803940831
37;3;9459;394187776;349014;2907103;0.120055601745105
37;4;9456;381395936;320734;2833167;0.11320688120396714
37;5;9480;368821184;355607;2964435;0.11995776598238787
37;6;9441;356439040;355646;3077968;0.11554571067665421
37;7;9463;343815104;367230;3099574;0.11847757143400997
37;8;9456;331072448;490248;3282650;0.14934519366974852
37;9;9481;318489536;341806;3012165;0.11347519143207627
37;10;9464;305712224;357454;3101447;0.11525394436854797
38;0;0;305712224;0;0;0.0
38;1;9459;292606208;361395;3006277;0.12021347334260948
38;2;9478;279879152;364194;3149388;0.11563960998136781
38;3;9446;266951328;359789;3071660;0.11713177890782182
38;4;9437;253822720;449427;3138719;0.14318803307973732
38;5;9478;240894912;357051;3058661;0.11673441417666096
38;6;9466;228167856;516339;3523665;0.1465346450357795
38;7;9463;215212336;365847;3069943;0.1191706165228475
38;8;9439;202268128;338536;2980148;0.11359704283142985
38;9;9476;497243240;373882;3121181;0.11978863129052753
38;10;9456;487083848;342905;2912043;0.11775409909812458
39;0;0;487083848;0;0;0.0
39;1;9466;476772352;484084;3235247;0.14962814276622466
39;2;9480;466379184;356382;2901592;0.12282291928017447
39;3;9446;456324304;338551;2922518;0.11584222920098354
39;4;9461;445950600;342553;2916290;0.11746191222409294
39;5;9463;435639120;327370;3071334;0.10658886334081542
39;6;9467;425186776;367781;3059367;0.12021473723159072
39;7;9444;414875264;496139;3401309;0.1458670764696768
39;8;9467;404485160;318553;2802120;0.11368285441023225
39;9;9465;394173664;347492;3091050;0.11241875738017826
39;10;9437;383783560;372419;3028902;0.1229551170688256
40;0;0;383783560;0;0;0.0
40;1;9468;373202160;340912;3023941;0.11273764931260233
40;2;9467;362525736;345935;2973545;0.11633757013934547
40;3;9478;352056360;559245;3728014;0.15001150746751488
40;4;9430;341474984;366622;3060339;0.11979783938968853
40;5;9464;330814928;358887;3098187;0.11583774639813542
40;6;9492;320281408;400941;3251721;0.12330116882721488
40;7;9460;309635704;371147;3200215;0.11597564538632561
40;8;9472;299324240;355348;2979189;0.11927675619103051
40;9;9440;288664184;360023;3029026;0.11885767900308548
40;10;9454;278082784;539464;3524721;0.15305154649119745
41;0;0;278082784;0;0;0.0
41;1;9447;267152792;346429;3031903;0.11426124120725498
41;2;9482;256301472;348001;3110584;0.1118764193476209
41;3;9494;245346952;397235;3280170;0.12110195508159638
41;4;9439;234615832;347761;3098233;0.11224494736193179
41;5;9440;223828816;350950;3077642;0.11403210639834002
41;6;9482;212896776;492081;3460637;0.14219376374927506
41;7;9434;202045440;337604;2959344;0.11408068815250948
41;8;9458;498361272;390227;3403755;0.11464603063381472
41;9;9467;488788920;489114;3192237;0.15321982672339177
41;10;9494;479396632;369259;3017079;0.12238956951408962
42;0;0;479229176;0;0;0.0
42;1;9460;469451560;309106;2807461;0.11010161850868097
42;2;9447;459825096;513019;3412860;0.15031938022655486
42;3;9461;449869032;345085;3049102;0.11317594491755277
42;4;9443;440258920;330814;2948549;0.11219552396789065
42;5;9472;430529016;361163;2941096;0.12279877977461463
42;6;9441;420921608;330880;3053145;0.10837349683686821
42;7;9451;410962792;344773;3012993;0.11442874244978332
42;8;9428;401336344;344204;3057696;0.11256972570196645
42;9;9441;391549800;497592;3298903;0.15083559595417023
42;10;9447;381753736;340465;2998375;0.11354983949639388
43;0;0;381753736;0;0;0.0
43;1;9471;371577240;343464;3020486;0.1137115020562916
43;2;9483;361724616;370756;3098538;0.11965514058565685
43;3;9460;351703912;360741;3326447;0.10844633929234405
43;4;9468;341690120;350312;3157037;0.1109622725359253
43;5;9473;331502504;505945;3480658;0.1453590097044869
43;6;9449;321479752;349051;3112919;0.11212980485518576
43;7;9454;311619160;341378;3175240;0.10751250299189982
43;8;9454;301679360;321970;2991819;0.10761680435881983
43;9;9465;291824088;329395;3054173;0.10785079954540885
43;10;9446;281862728;363016;3096543;0.11723266881809812
44;0;0;281862728;0;0;0.0
44;1;9444;271778584;565309;3691286;0.1531468978561943
44;2;9457;261526376;341188;3006007;0.11350206436645024
44;3;9457;251496184;383748;3167770;0.12114137074345675
44;4;9464;241093464;325849;2956060;0.1102308478177033
44;5;9457;231006680;360414;3129080;0.11518209825252151
44;6;9438;220813816;341812;2955933;0.11563590920362539
44;7;9445;210562200;350405;3091650;0.11333915546714537
44;8;9477;200475416;612306;3779507;0.16200684374972715
44;9;9426;498972888;365211;3080205;0.1185671083580476
44;10;9468;490626576;356396;2951506;0.120750559206046
45;0;0;490626576;0;0;0.0
45;1;9468;481916896;369973;3187430;0.1160725098276668
45;2;9489;473314000;355269;3181445;0.11166906861504756
45;3;9440;464568816;343454;2937992;0.11690093097598632
45;4;9464;455938440;482861;3453543;0.13981612506344934
45;5;9468;447212416;509411;3448859;0.14770421174075252
45;6;9460;438590384;346759;3090278;0.11220964586357603
45;7;9447;429866912;329980;2931857;0.11254982763484031
45;8;9493;421263968;410523;3434756;0.1195202803343236
45;9;9476;412518744;331651;3022024;0.10974466119395478
45;10;9464;403918560;531570;3621710;0.14677320934033924
46;0;0;403918560;0;0;0.0
46;1;9474;394973008;340714;3190995;0.10677359256282132
46;2;9452;386351008;358047;3282148;0.10908923058923607
46;3;9448;377438112;348208;2977886;0.11693127272165556
46;4;9446;368645744;355803;3058519;0.11633179326334085
46;5;9482;359711104;369318;3039725;0.12149717490891446
46;6;9462;350907888;367844;3137036;0.11725845670881686
46;7;9453;341975968;615768;3544843;0.17370811626918314
46;8;9451;333161856;345702;3131432;0.11039741562326756
46;9;9457;324251688;359763;3111216;0.11563420861810944
46;10;9458;315445712;367339;3176776;0.11563264139492366
47;0;0;315445712;0;0;0.0
47;1;9460;306321712;336505;3265067;0.10306220362399914
47;2;9491;297342576;376499;3347734;0.11246383374545289
