ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
15;2;17926;435340200;1403239;7564844;0.18549477028211026
15;3;17853;424854440;1382030;7440767;0.18573757248412698
15;4;17876;414890824;1286522;7176465;0.17926959861157268
15;5;17949;404142968;1409188;7350308;0.19171822459684681
15;6;18009;394705784;1277989;7189727;0.17775208989159116
15;7;17953;385008552;1342222;7450771;0.18014538361197788
15;8;17892;374522792;1311046;7403475;0.1770852201162292
15;9;17910;364559176;1439342;7683954;0.1873178834750963
15;10;17910;354859896;1462578;7954355;0.18387135097691767
16;0;0;354859896;0;0;0.0
16;1;17767;343587656;1349962;7761224;0.17393673987505065
16;2;17735;333101896;1372684;7872547;0.17436339217790633
16;3;17843;322616136;1364255;8003244;0.17046275235392047
16;4;17759;311608232;1376769;7917676;0.17388549367263828
16;5;17752;300071848;1439102;7834307;0.1836923163720799
16;6;17857;289848184;1722932;8455726;0.20375920411801424
16;7;17828;279362424;1522282;8249486;0.18453052711405293
16;8;17836;267828088;1566230;8052667;0.19449829478854647
16;9;17824;257604424;1612905;8208749;0.1964860906332987
16;10;17709;247118664;1315900;7476785;0.1759981061378654
17;0;0;247118664;0;0;0.0
17;1;17617;235053976;1370827;7904872;0.17341545821361815
17;2;17640;224049992;1450495;7910198;0.18337025192036913
17;3;17551;213042088;1338836;7800935;0.17162506802069238
17;4;17611;200719224;1339156;7766439;0.17242857376463008
17;5;17616;500266112;1406975;7767194;0.18114328031461555
17;6;17626;488032680;1377932;7738459;0.17806284171047493
17;7;17624;477199488;1318291;7570864;0.17412688961259903
17;8;17546;466012584;1297733;7501300;0.17300107981283244
17;9;17529;454827728;1757917;9620713;0.18272211217609338
17;10;17657;442943912;1315596;7609155;0.17289646485056487
18;0;0;442943912;0;0;0.0
18;1;17337;431062144;1273723;7339760;0.17353741811721365
18;2;17434;418479232;1405093;7632174;0.184101279661601
18;3;17412;406593232;1276683;7313898;0.17455575672507329
18;4;17368;394709416;1278460;7533375;0.16970614100585726
18;5;17385;381777024;1302116;7411104;0.17569797968022038
18;6;17414;370244736;1346353;7228548;0.1862549712611717
18;7;17448;358358736;1730430;8060321;0.2146849982773639
18;8;17310;345426344;1452925;7512444;0.19340244000487725
18;9;17461;333892008;1532006;7719241;0.1984658854413277
18;10;17346;322010240;1382896;7392127;0.18707687246174207
19;0;0;322010240;0;0;0.0
19;1;17115;308376704;1243022;6533893;0.19024217262204937
19;2;17133;296143272;1108884;6326441;0.17527769562697257
19;3;17085;283560360;1258676;6627280;0.18992346784804626
19;4;17071;269928872;1176581;6296741;0.18685554956127304
19;5;17163;257695440;1097825;6241552;0.17588974665275559
19;6;17114;245112528;1316758;6766074;0.1946118236365727
19;7;17043;232529616;1079286;6283164;0.17177428442103373
19;8;17276;219249792;1212659;7390315;0.16408759301870082
19;9;17296;206666880;1251675;7820765;0.16004508510356724
19;10;17344;503458624;1560357;8560484;0.18227439009289662
20;0;0;503458624;0;0;0.0
20;1;17065;495582976;1219954;7393242;0.16500934231559036
20;2;17152;486817296;1263158;7821545;0.16149724894506137
20;3;17157;477457480;1566595;8495366;0.1844058278360226
20;4;17091;469518288;1344304;7830684;0.1716713380338167
20;5;17167;460680192;1252470;7616582;0.1644399023078856
20;6;17189;452741072;1279254;7737085;0.16534056430813412
20;7;17174;443975392;1370163;7825398;0.1750917972478844
20;8;17076;435963856;1224153;7395286;0.1655315291389677
20;9;17092;428024680;1267392;7665191;0.1653438250918992
20;10;16969;419186640;1366491;7060603;0.1935374358252404
21;0;0;419186640;0;0;0.0
21;1;16724;410798032;1022805;5907503;0.17313660272368883
21;2;16801;401662616;1057190;6347557;0.16655069028919314
21;3;16788;393274008;1041491;6065607;0.17170433231167137
21;4;16810;384885400;1301762;6530787;0.19932697238479835
21;5;16748;375595880;1221194;6294281;0.19401644127422973
