ThreadPoolSize;RunNr;Runtime;Memory;L2-Cache-Misses;L2-Cache-References;L2-Cache-Miss-Rate
22;3;19148;2088657984;54402061;467289888;0.11642036859141279
22;4;19407;1805106096;56952353;492537708;0.11563044224829178
22;5;18924;1514146848;53385526;467324621;0.11423649343739585
22;6;19252;1225013072;61909145;522690257;0.11844327337442603
22;7;18843;938448144;53610591;467515948;0.11467114914334431
22;8;18802;2038722816;52926177;467415259;0.1132315986286618
22;9;18779;1746276016;57411074;495392964;0.11588996649536588
22;10;19005;1445364592;55960822;489645633;0.11428841233022903
23;0;0;1445364592;0;0;0.0
23;1;19135;1150677440;61021457;520787832;0.11717143383641881
23;2;18441;855936632;51118204;458579512;0.11147075406194772
23;3;18791;1951708160;56051724;490577836;0.11425653563362369
23;4;18857;1644727328;53869100;466853024;0.11538770711700477
23;5;18784;1346995424;54339178;486777066;0.11163052205092998
23;6;18883;1029374944;57007967;493366556;0.1155489084266182
23;7;18970;2116577136;53210493;463250490;0.11486332804526553
23;8;18818;1826140800;59405526;511729305;0.11608779372133085
23;9;19088;1520995360;61626483;521367030;0.11820172633470896
23;10;19259;1226416080;57113797;494650798;0.11546286234839957
24;0;0;1226416080;0;0;0.0
24;1;18352;911639872;46723977;432801765;0.1079569927354617
24;2;18628;1992107632;52347379;468673379;0.11169266560796064
24;3;18647;1670468480;50808951;464369666;0.10941487939481387
24;4;18596;1365189360;52108754;465410155;0.11196307910384981
24;5;18868;1038587264;52184047;467076501;0.11172483926781836
24;6;18629;2119751104;52248214;464775691;0.1124159783132892
24;7;18995;1825152960;52801733;468674106;0.11266193784556981
24;8;18671;1510338416;51312223;462653627;0.11090850693795598
24;9;18958;1205991520;53307951;467408320;0.11405006868512739
24;10;18852;895966240;52259361;465749910;0.11220476886404551
25;0;0;895966240;0;0;0.0
25;1;18680;1970956048;49023481;439749843;0.11148038317776045
25;2;18451;1634190672;49134788;438811848;0.11197233671776337
25;3;18292;1316236432;47870730;437003829;0.10954304475899684
25;4;18292;989566832;46593486;435206925;0.10706053448023604
25;5;19104;2084253344;52146280;463385231;0.11253332327287746
25;6;18733;1760367008;51675115;468627393;0.11026908749228835
25;7;18578;1445377728;52725867;465223838;0.11333440527611141
25;8;18671;1128767424;51717449;461715017;0.1120116242612919
25;9;18245;812338256;47754629;443467812;0.10768454374316574
25;10;18324;1895996776;47566943;440623962;0.10795360012672212
26;0;0;1895996776;0;0;0.0
26;1;18239;1563978768;48190463;444268826;0.10847140330300825
26;2;18193;1236010136;48967639;441416845;0.11093287343848421
26;3;18793;908004800;48632565;437807033;0.1110821922314802
26;4;18588;1965400608;49171799;437994260;0.1122658525250993
26;5;18365;1622212304;47045463;436603317;0.10775333390332442
26;6;18708;1295787664;51663102;466213035;0.11081436622637546
26;7;18793;962406848;52490276;465160977;0.11284324910169755
26;8;18474;2026170696;48409067;439950821;0.11003290524601612
26;9;18901;1685935576;52855056;465837665;0.11346239252680437
26;10;18852;1353897528;48275861;434300209;0.11115781203780171
27;0;0;1353897528;0;0;0.0
27;1;18829;1012864496;50496742;441914335;0.11426816919166019
27;2;18700;2060733792;47256100;432884321;0.10916565398080103
27;3;18346;1717308704;47012187;433049269;0.10856082752099046
27;4;18220;1376576536;49179126;440300257;0.11169452031457706
27;5;18707;1030190208;49625350;440502054;0.11265634189301646
27;6;18960;2074838904;54037012;467157341;0.1156719744237092
27;7;18363;1726817024;48499500;434477513;0.11162718103663975
27;8;18863;1386656872;50130178;441525820;0.11353849702379806
27;9;18464;1043580976;46224917;412934907;0.11194238175655129
27;10;18303;2098619344;51018480;460283886;0.11084133412395845
28;0;0;2098619344;0;0;0.0
28;1;18215;1752725424;49304810;441636572;0.11164113917630898
28;2;18137;1403815312;45019113;414760408;0.10854245519017813
28;3;18856;1058497568;53315295;467929168;0.11393881520119302
28;4;18730;2093707216;49648709;441495531;0.11245574533346749
28;5;18548;1745444608;48775975;439450751;0.11099304049203912
28;6;18684;1410734592;51686220;466679577;0.11075312172917308
28;7;18388;1055481760;47961286;434519964;0.1103776350308268
28;8;18481;2084242736;47531216;436198023;0.10896705966959415
28;9;18420;1736789656;47937456;439341094;0.10911216058473237
28;10;18123;1394398656;46661545;432070200;0.10799528641410586
29;0;0;1394398656;0;0;0.0
29;1;18449;1038628352;47864616;435075234;0.11001457278995568
