Threads,Mean,Std,SpeedUp Real,Accuracy Real,Sim Without Memory Hierachy,SpeedUp Sim Without Memory Hierachy,Accuracy Without Memory Hierarchy,Sim Data Read Model,SpeedUp Sim Data Read Model,Accuracy Sim Data Read Model,Recalibrated Sim Data Read Model,SpeedUp Recalibrated Sim Data Read Model,Accuracy Recalibrated Sim Data Read Model,Sim Recalib With Cache Line,SpeedUp Sim Recalib With Cache Line,Accuracy Sim Recalib With Cache Line,Sim With Cacheline and Multicore Scaling L3-Dram Bandwidth,SpeedUp Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth,Accuracy Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth
20,1090.959103,80.20395118,15.53917672,0,947,17.90073918,-0.1319564613,1058,16.02325737,-0.03021112573,954,17.76939203,-0.1255400888,975,17.38666667,-0.1062909712,949,17.8630137,-0.130123212
24,913.7712639,66.49100049,18.55235217,0,806,21.03225806,-0.117941183,899,18.85718164,-0.01616516569,813,20.85116851,-0.1102806226,831,20.39951865,-0.09058203858,807,21.00619579,-0.1168468173
28,818.697017,81.59298036,20.70681331,0,705,24.04539007,-0.1388755726,786,21.56820139,-0.03993787241,712,23.80898876,-0.130325401,736,23.0326087,-0.1010105268,707,23.97736917,-0.1364326664
32,726.9572045,90.52698066,23.31995087,0,629,26.95071542,-0.1347496164,701,24.18346119,-0.03570664724,636,26.65408805,-0.1251204389,657,25.8021309,-0.09623290619,631,26.86529319,-0.1319984228
36,643.0042147,96.97117407,26.36468923,0,570,29.74035088,-0.1135361371,635,26.69701778,-0.01244815271,578,29.32871972,-0.101094539,595,28.4907563,-0.07465614309,572,29.63636364,-0.1104257376
40,617.9504207,117.8376311,27.43360264,0,523,32.41300191,-0.1536537844,584,29.02843543,-0.0549403635,532,31.86466165,-0.1390895092,573,29.58464223,-0.07274114432,527,32.16698292,-0.1471807732
48,539.1852483,121.2887945,31.44115375,0,453,37.42163355,-0.1598434833,503,33.70299462,-0.06711097599,460,36.85217391,-0.1468609323,478,35.46443515,-0.1134772297,454,37.33920705,-0.1579888332
56,509.5529542,141.5948384,33.26956728,0,402,42.16915423,-0.2110731638,447,37.92529372,-0.1227604583,410,41.34634146,-0.1953731273,428,39.60747664,-0.160048045,404,41.96039604,-0.2071481547
64,507.8589439,154.4183766,33.38054099,0,364,46.57142857,-0.2832655516,404,41.96189676,-0.2045035243,372,45.56989247,-0.2675131462,396,42.80808081,-0.2202559298,367,46.19073569,-0.2773583996
72,484.7129102,178.6565915,34.97453015,0,335,50.60298507,-0.3088692442,371,45.69435658,-0.2345984764,342,49.56725146,-0.294427706,369,45.9403794,-0.2387246302,339,50.00589971,-0.3006169367
80,470.8552504,200.4322384,36.00385953,0,311,54.50803859,-0.3394997725,345,49.13798925,-0.2672907444,319,53.14106583,-0.322509413,345,49.13623188,-0.2672907444,317,53.47634069,-0.3267570029
88,464.5927665,369.6288192,36.48917399,0,292,58.05479452,-0.3714925822,324,52.32285893,-0.302615057,300,56.50666667,-0.3542732009,328,51.68292683,-0.2940053663,300,56.50666667,-0.3542732009
96,464.5356001,346.4424443,36.4936644,0,276,61.42028986,-0.4058582379,305,55.58231571,-0.3434302992,284,59.69014085,-0.3886367376,315,53.81587302,-0.3219034237,285,59.48070175,-0.38648405
104,463.3454044,356.4743303,36.5874057,0,263,64.45627376,-0.4323888885,292,58.05687086,-0.3698005911,272,62.32352941,-0.4129649342,304,55.76315789,-0.3439019852,274,61.86861314,-0.4086484998
112,462.7113899,369.1450867,36.63753835,0,251,67.53784861,-0.4575452313,279,60.76202972,-0.3970323487,261,64.95019157,-0.4359334875,293,57.85665529,-0.3667759075,263,64.45627376,-0.4316111388
120,457.2751557,150.0434213,37.0730972,0,241,70.34024896,-0.4729650256,268,63.25599363,-0.4139196135,250,67.808,-0.4532832215,285,59.48070175,-0.3767428725,254,66.74015748,-0.4445357531
128,455.4302566,376.2282601,37.22327634,0,232,73.06896552,-0.4905915963,258,65.70777633,-0.4335027235,241,70.34024896,-0.4708300634,276,61.42028986,-0.3939796577,244,69.47540984,-0.4642428858
136,451.9431938,212.8510939,37.51048035,0,224,75.67857143,-0.5043624883,249,68.08275619,-0.4490458018,233,72.75536481,-0.4844484812,269,63.01858736,-0.4047924525,237,71.52742616,-0.4755978113
144,449.4748377,360.3614676,37.71647458,0,217,78.11981567,-0.5172143538,241,70.3427647,-0.4638187063,227,74.6784141,-0.4949661673,264,64.21212121,-0.4126478774,229,74.02620087,-0.49051653
152,448.6027843,311.2279067,37.78979285,0,211,80.34123223,-0.5296507124,234,72.44703544,-0.478380411,221,76.70588235,-0.507359277,259,65.45173745,-0.4226518224,222,76.36036036,-0.5051301335
160,442.1307702,371.1310591,38.34296872,0,205,82.69268293,-0.5363362747,228,74.35353637,-0.4843154664,215,78.84651163,-0.513718532,254,66.74015748,-0.4255093354,216,78.48148148,-0.5114567577
168,432.3348257,381.3008086,39.21175276,0,200,84.76,-0.5373955829,222,76.36309141,-0.4865090971,210,80.72380952,-0.5142653621,248,68.35483871,-0.4263705229,211,80.34123223,-0.51195234
176,430.1640708,361.7955105,39.40962866,0,196,86.48979592,-0.5443599006,217,78.12260964,-0.4955413185,205,82.69268293,-0.5234376511,242,70.04958678,-0.4374239589,205,82.69268293,-0.5234376511
184,424.5092611,398.1249405,39.93459706,0,192,88.29166667,-0.5477130475,212,79.96512402,-0.5005998233,201,84.33830846,-0.5265120966,238,71.22689076,-0.4393526318,201,84.33830846,-0.5265120966
192,417.4121166,344.9663991,40.61359414,0,188,90.17021277,-0.5496057912,208,81.50291487,-0.5016915137,197,86.05076142,-0.5280443663,235,72.13617021,-0.437007239,196,86.48979592,-0.5304400802
